Schema,Property,Percentage
https://json.schemastore.org/nest-cli,exec,0.22
https://json.schemastore.org/nest-cli,assets,0.11
https://json.schemastore.org/nest-cli,outDir,0.11
https://json.schemastore.org/nest-cli,type,0.11
https://json.schemastore.org/nest-cli,flat,0.22
https://json.schemastore.org/nest-cli,packageManager,0.11
https://json.schemastore.org/nest-cli,defaults,0.11
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,patterns,100.00
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,name,94.66
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,scopeName,100.00
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,repository,91.44
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,fileTypes,22.60
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,injectionSelector,9.79
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,foldingStopMarker,3.99
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,foldingStartMarker,3.99
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,uuid,2.90
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,keyEquivalent,1.55
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,injections,3.86
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,firstLineMatch,2.45
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,information_for_contributors,8.44
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,comment,0.32
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,version,1.22
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,json,0.13
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,license,0.77
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,extensions,0.19
https://raw.githubusercontent.com/martinring/tmlanguage/master/tmlanguage.json,hidden,0.06
https://raw.githubusercontent.com/streetsidesoftware/cspell/main/cspell.schema.json,TODO: fix those words,0.18
https://json.schemastore.org/tsconfig,include,65.40
https://json.schemastore.org/tsconfig,compilerOptions,96.58
https://json.schemastore.org/tsconfig,exclude,36.28
https://json.schemastore.org/tsconfig,display,57.27
https://json.schemastore.org/tsconfig,extends,37.85
https://json.schemastore.org/tsconfig,files,0.78
https://json.schemastore.org/tsconfig,references,4.50
https://json.schemastore.org/tsconfig,ts-node,2.14
https://json.schemastore.org/tsconfig,compileOnSave,0.36
https://json.schemastore.org/tsconfig,_version,0.43
https://json.schemastore.org/tsconfig,buildOnSave,0.05
https://json.schemastore.org/tsconfig,esModuleInterop,0.03
https://json.schemastore.org/tsconfig,types,0.11
https://json.schemastore.org/tsconfig,rules,0.13
https://json.schemastore.org/tsconfig,typedocOptions,0.08
https://json.schemastore.org/tsconfig,watchOptions,0.02
https://json.schemastore.org/tsconfig,typeAcquisition,0.03
https://json.schemastore.org/tsconfig,angularCompilerOptions,0.03
https://json.schemastore.org/tsconfig,paths,0.06
https://json.schemastore.org/tsconfig,docs,0.05
https://json.schemastore.org/tsconfig,DOCS,0.02
https://json.schemastore.org/tsconfig,target,0.02
https://json.schemastore.org/tsconfig,module,0.02
https://json.schemastore.org/tsconfig,declarationMap,0.02
https://json.schemastore.org/tsconfig,resolveJsonModule,0.02
https://json.schemastore.org/tsconfig,lib,0.11
https://json.schemastore.org/tsconfig,jsx,0.02
https://json.schemastore.org/tsconfig,strict,0.02
https://json.schemastore.org/tsconfig,declaration,0.02
https://json.schemastore.org/tsconfig,incremental,0.02
https://json.schemastore.org/tsconfig,noEmit,0.02
https://json.schemastore.org/tsconfig,Display,0.22
https://json.schemastore.org/tsconfig,rootDir,0.05
https://json.schemastore.org/tsconfig,noExplicitAny,0.02
https://json.schemastore.org/tsconfig,tsc-alias,0.21
https://json.schemastore.org/tsconfig,jsdoc,0.11
https://docs.renovatebot.com/renovate-schema.json,regexManagers,7.84
https://docs.renovatebot.com/renovate-schema.json,includeForks,0.62
https://docs.renovatebot.com/renovate-schema.json,stabilityDays,6.51
https://docs.renovatebot.com/renovate-schema.json,branchStatusCheck,0.03
https://docs.renovatebot.com/renovate-schema.json,golang,0.10
https://docs.renovatebot.com/renovate-schema.json,docker,0.32
